case_id,experiment,graph_type,n,k,density,seed,num_vars,num_clauses,result,wall_time_sec,cpu_time_reported_sec,conflicts,decisions,propagations,returncode,cnf_file
A_density_random_n60_k3_d0p045_s30,A_density,random,60,3,0.045,30,180,480,SAT,0.003428,0.001308,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s30.cnf
A_density_random_n60_k3_d0p045_s31,A_density,random,60,3,0.045,31,180,480,SAT,0.002744,0.001085,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s31.cnf
A_density_random_n60_k3_d0p045_s32,A_density,random,60,3,0.045,32,180,480,SAT,0.002793,0.001075,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s32.cnf
A_density_random_n60_k3_d0p045_s33,A_density,random,60,3,0.045,33,180,480,SAT,0.002704,0.001077,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s33.cnf
A_density_random_n60_k3_d0p045_s34,A_density,random,60,3,0.045,34,180,480,SAT,0.002766,0.001055,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s34.cnf
A_density_random_n60_k3_d0p045_s35,A_density,random,60,3,0.045,35,180,480,SAT,0.003311,0.001229,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s35.cnf
A_density_random_n60_k3_d0p045_s36,A_density,random,60,3,0.045,36,180,480,SAT,0.002960,0.001171,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s36.cnf
A_density_random_n60_k3_d0p045_s37,A_density,random,60,3,0.045,37,180,480,SAT,0.002964,0.001187,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s37.cnf
A_density_random_n60_k3_d0p045_s38,A_density,random,60,3,0.045,38,180,480,SAT,0.002757,0.001067,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s38.cnf
A_density_random_n60_k3_d0p045_s39,A_density,random,60,3,0.045,39,180,480,SAT,0.002668,0.001033,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s39.cnf
A_density_random_n60_k3_d0p045_s4,A_density,random,60,3,0.045,4,180,480,SAT,0.002944,0.001177,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s4.cnf
A_density_random_n60_k3_d0p045_s40,A_density,random,60,3,0.045,40,180,480,SAT,0.004236,0.00115,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s40.cnf
A_density_random_n60_k3_d0p045_s5,A_density,random,60,3,0.045,5,180,480,SAT,0.004196,0.00113,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s5.cnf
A_density_random_n60_k3_d0p045_s6,A_density,random,60,3,0.045,6,180,480,SAT,0.003211,0.001207,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s6.cnf
A_density_random_n60_k3_d0p045_s7,A_density,random,60,3,0.045,7,180,480,SAT,0.002919,0.001122,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s7.cnf
A_density_random_n60_k3_d0p045_s8,A_density,random,60,3,0.045,8,180,480,SAT,0.002917,0.001177,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s8.cnf
A_density_random_n60_k3_d0p045_s9,A_density,random,60,3,0.045,9,180,480,SAT,0.002846,0.001083,0,1,0,10,cnfs/A_density_random_n60_k3_d0p045_s9.cnf
A_density_random_n60_k3_d0p04_s1,A_density,random,60,3,0.04,1,180,453,SAT,0.002653,0.001002,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s1.cnf
A_density_random_n60_k3_d0p04_s10,A_density,random,60,3,0.04,10,180,453,SAT,0.002778,0.001047,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s10.cnf
A_density_random_n60_k3_d0p04_s11,A_density,random,60,3,0.04,11,180,453,SAT,0.002934,0.001078,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s11.cnf
A_density_random_n60_k3_d0p04_s12,A_density,random,60,3,0.04,12,180,453,SAT,0.002717,0.000989,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s12.cnf
A_density_random_n60_k3_d0p04_s13,A_density,random,60,3,0.04,13,180,453,SAT,0.002946,0.001048,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s13.cnf
A_density_random_n60_k3_d0p04_s14,A_density,random,60,3,0.04,14,180,453,SAT,0.002848,0.001055,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s14.cnf
A_density_random_n60_k3_d0p04_s15,A_density,random,60,3,0.04,15,180,453,SAT,0.003467,0.001164,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s15.cnf
A_density_random_n60_k3_d0p04_s16,A_density,random,60,3,0.04,16,180,453,SAT,0.004304,0.001332,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s16.cnf
A_density_random_n60_k3_d0p04_s17,A_density,random,60,3,0.04,17,180,453,SAT,0.003619,0.001131,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s17.cnf
A_density_random_n60_k3_d0p04_s18,A_density,random,60,3,0.04,18,180,453,SAT,0.003235,0.001172,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s18.cnf
A_density_random_n60_k3_d0p04_s19,A_density,random,60,3,0.04,19,180,453,SAT,0.002862,0.001078,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s19.cnf
A_density_random_n60_k3_d0p04_s2,A_density,random,60,3,0.04,2,180,453,SAT,0.003202,0.001185,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s2.cnf
A_density_random_n60_k3_d0p04_s20,A_density,random,60,3,0.04,20,180,453,SAT,0.005119,0.001126,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s20.cnf
A_density_random_n60_k3_d0p04_s21,A_density,random,60,3,0.04,21,180,453,SAT,0.002902,0.001027,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s21.cnf
A_density_random_n60_k3_d0p04_s22,A_density,random,60,3,0.04,22,180,453,SAT,0.002829,0.001052,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s22.cnf
A_density_random_n60_k3_d0p04_s23,A_density,random,60,3,0.04,23,180,453,SAT,0.002748,0.001049,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s23.cnf
A_density_random_n60_k3_d0p04_s24,A_density,random,60,3,0.04,24,180,453,SAT,0.003176,0.001115,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s24.cnf
A_density_random_n60_k3_d0p04_s25,A_density,random,60,3,0.04,25,180,453,SAT,0.002649,0.000997,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s25.cnf
A_density_random_n60_k3_d0p04_s26,A_density,random,60,3,0.04,26,180,453,SAT,0.002723,0.001023,0,1,0,10,cnfs/A_density_random_n60_k3_d0p04_s26.cnf
